4224 1166
2839 2943 80
83 3391 3022
43 555 495
1223 3713 1099
2164 3435 607
1611 2982 126
1039 2565 975
1084 3418 174
1940 3202 692
1026 1783 724
74 2448 1014
294 731 316
525 2908 1154
780 1806 513
2106 3190 99
3135 3732 299
143 3528 49
1217 1461 27
265 352 68
94 2103 1469
1162 1615 107
36 786 28
816 2544 673
563 640 75
139 158 13
29 3256 1815
794 3520 743
3324 3451 57
1788 1879 74
1329 2411 841
2061 2130 59
831 1003 102
1672 2191 50
252 1078 217
198 290 59
7 70 22
1503 3372 1381
1212 1877 501
1446 2522 231
941 2243 574
129 415 248
58 627 517
579 1593 158
53 632 114
177 2817 2519
439 542 95
1775 1878 67
1112 2673 71
1583 2268 266
800 1594 351
1065 2280 129
385 750 250
221 589 276
1464 3209 692
134 494 219
2893 3169 156
469 529 61
984 3071 911
201 715 79
50 80 26
2496 3896 575
784 3246 2459
72 550 213
2086 4157 915
75 212 61
410 858 190
523 3669 2393
900 2578 649
1396 3663 2071
658 1617 304
631 1453 282
85 378 190
245 747 307
1411 3523 1623
421 596 77
1282 2522 473
173 1624 215
1962 2510 380
1646 2063 5
331 1251 8
37 452 314
433 3313 2173
2186 3829 1518
417 780 195
158 356 41
563 1694 905
456 819 10
1411 2373 474
2147 2576 359
4007 4198 32
51 1807 55
2135 2945 690
1159 3855 1642
2953 3933 799
693 2030 908
889 1221 108
279 3694 927
1664 2711 1029
221 564 296
2322 3441 970
639 1061 36
72 896 275
944 1391 73
853 916 54
196 458 35
943 1037 28
2663 2924 184
121 121 1
1255 1265 7
257 2318 136
2550 3102 48
2423 2976 375
1171 4058 2176
2721 4013 1101
3 23 11
93 167 7
1623 1820 97
316 1340 348
877 1879 946
3401 3859 245
1076 1130 25
23 304 63
568 2275 1001
2567 3146 471
109 804 109
2634 2961 0
962 2049 177
423 2599 1980
3428 4114 420
1757 3872 1734
110 661 183
244 654 240
3049 3295 177
786 1495 137
57 1291 145
1428 3270 1523
1068 1118 4
1283 3718 354
27 473 177
2192 3568 366
621 4213 2465
196 2263 2015
250 1186 136
762 1278 332
292 425 34
615 714 30
3063 3821 500
3399 3801 27
3224 3760 102
1277 2839 729
605 721 88
219 2693 1031
918 1751 424
810 2647 1047
929 930 1
502 552 35
1789 1879 41
795 1896 1079
1269 3588 1746
580 783 62
1895 1951 14
1706 1900 123
1759 2696 757
52 100 27
142 3819 1396
2833 3309 304
3068 3410 79
449 1217 96
858 1115 91
1890 2568 627
157 3265 1743
348 1238 131
1639 2275 446
586 3761 2858
1355 3989 2140
429 713 221
2023 3469 385
1792 2571 564
2092 3506 1084
458 976 299
764 925 50
243 370 97
1399 4052 122
109 1330 363
2061 2726 316
44 196 63
3111 4015 320
1992 2862 609
40 2098 719
3076 3706 576
13 13 0
1522 2242 440
1930 3050 895
2161 3563 606
2278 2857 375
1643 3874 932
1329 3387 617
1339 3083 683
1107 1314 115
2399 2836 99
77 853 54
297 780 68
1076 2544 652
1021 2498 37
301 2584 1149
137 352 33
146 374 87
848 2888 23
239 3577 827
3048 3100 23
138 1900 977
122 629 328
394 438 29
2111 2131 20
1022 1569 70
814 832 12
1468 2597 597
156 236 11
454 797 251
274 529 12
992 3157 1959
226 1436 950
2697 4213 896
177 3420 1807
1963 4168 454
2404 4061 1523
123 553 351
1441 1502 56
1560 2908 723
866 1109 21
365 2011 631
1333 1365 7
2430 3884 1285
2060 2306 208
375 932 493
19 240 52
970 2492 635
2174 3628 835
2468 2945 477
1228 2705 620
333 3077 2214
1625 2533 800
2073 2583 266
25 989 809
220 1053 119
765 3348 773
375 1756 23
944 3370 361
1597 3438 1102
1909 2318 249
1012 2428 964
567 1455 528
1373 2103 438
213 319 101
3012 3223 155
613 1947 487
9 2890 2020
532 1212 85
1684 2037 177
578 1867 880
3206 3279 54
231 2379 2094
629 2066 1147
368 830 337
991 3573 126
238 279 25
548 1487 94
3541 4033 227
1401 4189 934
1495 2786 357
3610 3832 73
1240 1592 214
739 2514 769
497 2595 1275
342 520 97
910 3355 299
80 281 185
526 554 9
1717 2788 589
296 446 147
159 908 647
322 3640 2065
19 736 556
1905 2088 30
1802 3279 1263
435 1751 407
1578 2030 315
1769 2793 40
2882 3695 799
1482 3171 376
2194 3790 380
737 2888 1780
165 361 186
296 1501 218
1282 2775 1494
2375 2933 175
197 515 228
794 2990 847
633 1592 785
1143 2940 36
331 968 197
460 1361 19
724 1947 136
